Status,Date,Title,Category,Start,End,Start24,Location,Host,RSVP,Capacity,Price,Series,Description,Cutoff,Marquee,Counted,Moved,Image,Slug
Live,2026-09-08,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-09-10,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-10,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-09-15,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-15,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-09-16,Natural Skincare: Sugar Scrubs,Enrichment Experience,6:00 PM,7:00 PM,1800,"Level 39, Residents’ Club",Resident Experiences,Seat,20,,,"An all-natural skincare workshop. You’ll make three sugar scrubs to take home, blended with essential oils of your choosing.

Light bites and wine will be served throughout.","Monday, Sept 14",False,True,False,,natural-skincare-sugar-scrubs
Live,2026-09-17,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-17,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-09-22,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-22,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-09-24,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-24,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-09-25,A Night in Mexico City,Community Dinner,6:00 PM,8:00 PM,1800,"Level 39, Residents’ Club",Resident Experiences,Paid seat,12,$75,,"The marquee evening of our season. A tribute to Michelin-level, Latin-inspired cooking, drawing on the techniques of Californios here in San Francisco and the celebrated kitchens of Mexico City.

Twelve seats at one table on Level 39, with the city forty floors below. Courses are served family-style where the food calls for it, and plated where it doesn’t. Each one is built around a single idea carried from a particular kitchen.

$75 per person. Seats are released on a first-come basis, and we expect this one to fill quickly.",,True,True,False,"linear-gradient(145deg,#1d1512 0%,#6b2f22 42%,#c4713a 78%,#e8b06a 100%)",a-night-in-mexico-city
Live,2026-09-27,Sunday Brunch,Culinary Experience,10:00 AM,2:00 PM,1000,"Level 39, Residents’ Club",Resident Experiences,Seat,45,,Last Sunday of the month,"Brunch on Level 39, from 10:00 to 2:00. A wider window than before, so you can come when it suits you.

If noon to two has been your habit, that time is unchanged. We’ve simply opened the morning on either side of it.

Please RSVP so we can set the room properly.",,False,True,False,"linear-gradient(155deg,#8a6a34 0%,#c9a15c 48%,#efd9a8 100%)",sunday-brunch
Live,2026-09-29,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-29,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-09-30,Book Club,Enrichment Experience,4:30 PM,6:00 PM,1630,"Level 39, Residents’ Club",Resident Experiences,Seat,,,Last Wednesday of the month,"Our monthly meeting, on the last Wednesday of the month at 4:30 on Level 39.

We’re continuing with <em>London Falling</em> by Patrick Radden Keefe. Light bites and wine will be served.",,False,True,False,,book-club
Live,2026-10-01,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-01,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-10-06,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-06,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-10-07,Succulent Pumpkin Workshop,Enrichment Experience,6:00 PM,7:30 PM,1800,"Level 39, Residents’ Club",Resident Experiences,Seat,20,,,"A succulent-topped pumpkin to carry your home through the autumn. You’ll design your own, and learn how to keep the cuttings healthy along the way.

We begin with a demonstration and a proper talk on succulent care, then everyone builds theirs. Mini pumpkins and all materials are provided, so there’s nothing to bring.

When the pumpkin has had its run, often many months from now, the cuttings can be replanted and enjoyed for years. Light bites and wine will be served throughout.","Monday, Oct 5",False,True,False,"linear-gradient(150deg,#5a2f14 0%,#a8632a 44%,#e2a95c 74%,#b9c39a 100%)",succulent-pumpkin-workshop
Live,2026-10-08,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-08,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-10-13,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-13,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-10-15,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-15,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-10-20,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-20,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-10-21,Book Club,Enrichment Experience,4:30 PM,6:00 PM,1630,"Level 39, Residents’ Club",Resident Experiences,Seat,,,Last Wednesday of the month,"Moved a week early this month. The Spooky Speakeasy has Level 39 on the 28th, and we return to the last Wednesday in November.

Our monthly meeting, on the last Wednesday of the month at 4:30 on Level 39.

We’re continuing with <em>London Falling</em> by Patrick Radden Keefe. Light bites and wine will be served.",,False,True,True,,book-club
Live,2026-10-22,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-22,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-10-25,Sunday Brunch,Culinary Experience,10:00 AM,2:00 PM,1000,"Level 39, Residents’ Club",Resident Experiences,Seat,45,,Last Sunday of the month,"Brunch on Level 39, from 10:00 to 2:00. A wider window than before, so you can come when it suits you.

If noon to two has been your habit, that time is unchanged. We’ve simply opened the morning on either side of it.

Please RSVP so we can set the room properly.",,False,True,False,"linear-gradient(155deg,#8a6a34 0%,#c9a15c 48%,#efd9a8 100%)",sunday-brunch
Live,2026-10-27,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-27,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-10-28,Spooky Speakeasy,Happy Hour,5:30 PM,8:00 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,"A one-night special, not the weekly happy hour","A speakeasy on Level 39 for one night only. We’d love for you to come in your best spooky speakeasy attire, and there are prizes for the costumes that earn them.

Games and trivia through the evening, signature cocktails from the bar, and spooky bites from the kitchen.

No RSVP needed to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(150deg,#12101a 0%,#2f1c33 42%,#7a3f2c 76%,#d08a3f 100%)",spooky-speakeasy
Live,2026-10-29,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-10-29,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-11-03,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-03,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-11-05,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-05,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-11-10,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-10,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
